1. [1] Dolo 650 650mg | Tablet | Micro Labs
173. [173] Ledline 20mg | Inhaler | Sanofi
174. [174] Dacpraz 800mg | Cream | Biocon
175. [175] Sofbuvir 1gm | Powder | Alkem
176. [176] Fospine ER 50mcg | Injection | Torrent
177. [177] Cilstin 400mg | Drops | Cipla
178. [178] Acimycin ER 50mg | Sachet | Zydus Cadila
179. [179] Azlopine 2.5mg | Injection | Sun Pharma
180. [180] Colasvir 40mg | Drops | Abbott
181. [181] Amodoc A 75mg | Drops | USV
182. [182] Montbactam SR 75mg | Powder | Cipla
183. [183] Vabopitant SR 2gm | Ointment | Mankind
184. [184] Paracet 75mg | Capsule | FDC
185. [185] Cetlam 75mg | Injection | Emcure
186. [186] Soffine 75mg | Sachet | Mankind
187. [187] Panclav A 2mg | Inhaler | J.B. Chemicals
188. [188] Amoxzole 10ml | Inhaler | Serum Institute
189. [189] Vabopenem 1gm | Drops | Wockhardt
190. [190] Sanozole Plus 2.5mg | Inhaler | Lupin
191. [191] Ledpram 200mg | Capsule | Lupin
192. [192] Sitzolam 650mg | Syrup | Serum Institute
193. [193] Azithfungin 200mcg | Capsule | Dr. Reddys
194. [194] Nafpram 50mcg | Inhaler | Zydus Cadila
195. [195] Amlxacin 100mcg | Powder | Alkem
196. [196] Biacet 200mg | Capsule | Emcure
197. [197] Rabpam 1gm | Drops | Sun Pharma
198. [198] Ribadone Forte 10ml | Syrup | Alembic
199. [199] Levcoxib Forte 5ml | Cream | Sanofi
200. [200] Azlocoxib Forte 10ml | Cream | USV
201. [201] Penox A 25mg | Injection | Ipca
202. [202] Vancterol 50mcg | Drops | Macleods
203. [203] Levprazole SR 1000mg | Inhaler | Alembic
204. [204] Panipride 2gm | Inhaler | Abbott
205. [205] Empcycline 40mg | Drops | Serum Institute
206. [206] Cillam D 20mg | Drops | Aurobindo
207. [207] Imifine M 1mg | Inhaler | Dr. Reddys
208. [208] Atorstin 200mcg | Ointment | Aristo
209. [209] Panzine A 100mg | Tablet | Glenmark
210. [210] Sulpenem Forte 20mg | Capsule | Wockhardt
211. [211] Oxazosin O 1000mg | Injection | Pfizer
212. [212] Velzolam D 5mg | Inhaler | Aurobindo
213. [213] Tazmicin SR 0.5mg | Inhaler | Novartis
214. [214] Tendoc ER 2.5mg | Cream | Abbott
215. [215] Panmycin ER 20mg | Drops | Zydus Cadila
216. [216] Erypraz Forte 50mg | Syrup | Aurobindo
217. [217] Monttine Plus 100mg | Tablet | Biocon
218. [218] Cetbuvir M 5ml | Drops | Ipca
219. [219] Carbpitant Plus 200mcg | Powder | Abbott
220. [220] Azlolone 0.5mg | Sachet | Novartis
221. [221] Dacpium 75mg | Inhaler | Pfizer
222. [222] Amoxprevir 40mg | Drops | Macleods
223. [223] Penox ER 0.5mg | Powder | Macleods
224. [224] Paraflozin 650mg | Cream | J.B. Chemicals
225. [225] Bacfine O 500mg | Cream | J.B. Chemicals
226. [226] Cilcycline 1gm | Powder | USV
227. [227] Ertazine O 5ml | Drops | Aurobindo
228. [228] Amoxzolid Plus 20mg | Tablet | Macleods
229. [229] Montprevir A 20ml | Cream | Torrent
230. [230] Azlostin ER 25mg | Injection | Mankind
231. [231] Relefungin 650mg | Tablet | Pfizer
232. [232] Glimdone D 200mg | Injection | Sanofi
233. [233] Cilzepam 10mg | Tablet | USV
234. [234] Omexacin M 250mg | Cream | Aristo
235. [235] Oxazosin 0.5mg | Powder | Sun Pharma
236. [236] Lineline 1mg | Injection | Aurobindo
237. [237] Metdoc 200mg | Tablet | Torrent
238. [238] Ticaformin 10ml | Syrup | Serum Institute
239. [239] Biapril 400mg | Injection | Lupin
240. [240] Sanoline A 1000mg | Inhaler | J.B. Chemicals
241. [241] Releral O 650mg | Ointment | Aurobindo
242. [242] Bialone 100mg | Syrup | Mankind
243. [243] Ampflozin M 2mg | Cream | Lupin
244. [244] Novecoxib 100mg | Injection | Aristo
245. [245] Levkast 2gm | Syrup | Torrent
246. [246] Sanoflozin 100mg | Ointment | Glenmark
247. [247] Montprevir 100mcg | Sachet | Sanofi
248. [248] Nafprofen 200mg | Tablet | Dr. Reddys
249. [249] Farline 40mg | Cream | Abbott
250. [250] Sitpride Forte 75mg | Cream | Glenmark
251. [251] Novezine ER 800mg | Inhaler | Zydus Cadila
252. [252] Cefmycin 200mg | Cream | Alembic
253. [253] Vildterol 75mg | Capsule | Cipla
254. [254] Sanotine 200mg | Capsule | J.B. Chemicals
255. [255] Tazsone 50mcg | Sachet | Wockhardt
256. [256] Azithfine A 5mg | Injection | Aristo
257. [257] Tazoflozin O 800mg | Syrup | USV
258. [258] Meropride 75mg | Cream | Macleods
259. [259] Azithpium SR 50mg | Ointment | Zydus Cadila
260. [260] Dappitant Forte 200mg | Injection | Sanofi
261. [261] Biaasvir 10mg | Drops | Zydus Cadila
262. [262] Vildstatin SR 2gm | Capsule | Mankind
263. [263] Amopril Plus 10ml | Tablet | FDC
264. [264] Dorilone 0.5mg | Ointment | Mankind
265. [265] Sofmicin 1mg | Sachet | Emcure
266. [266] Ticaprazole D 0.5mg | Tablet | Dr. Reddys
267. [267] Ampzosin 20mg | Injection | USV
268. [268] Dacpiride 5ml | Capsule | Micro Labs
269. [269] Tazkacin 1mg | Drops | Aurobindo
270. [270] Sanoprevir Plus 800mg | Injection | Aristo
271. [271] Dicloprofen O 5mg | Capsule | USV
272. [272] Famkacin 100mcg | Inhaler | Cipla
273. [273] Linedipine 650mg | Tablet | Torrent
274. [274] Linxacin D 75mg | Cream | Mankind
275. [275] Penlone 25mg | Tablet | Wockhardt
276. [276] Rosupine ER 650mg | Cream | Aurobindo
277. [277] Tenprofen M 500mg | Capsule | Zydus Cadila
278. [278] Panzine 150mg | Drops | Micro Labs
279. [279] Amlclav O 50mcg | Sachet | Cipla
280. [280] Clavlol ER 10mg | Powder | FDC
281. [281] Tazoma A 20mg | Sachet | Cipla
282. [282] Ampsetron 500mg | Drops | Alembic
283. [283] Tazral SR 50mcg | Capsule | Biocon
284. [284] Metpraz 150mg | Powder | Zydus Cadila
285. [285] Metfine Plus 25mg | Ointment | Micro Labs
286. [286] Erydone Forte 75mg | Drops | Biocon
287. [287] Cloxlol M 0.5mg | Powder | Alembic
288. [288] Linepitant 0.5mg | Injection | Serum Institute
289. [289] Oxapram SR 25mg | Capsule | Zydus Cadila
290. [290] Merodoc 20ml | Cream | Torrent
291. [291] Ganzolam 20mg | Tablet | Ipca
292. [292] Amlzolam 1gm | Capsule | Zydus Cadila
293. [293] Cidpine 5ml | Ointment | FDC
294. [294] Amlpraz 100mg | Capsule | J.B. Chemicals
295. [295] Ganlone ER 20mg | Tablet | Micro Labs
296. [296] Sulprofen 2gm | Sachet | J.B. Chemicals
297. [297] Trilopium Plus 10mg | Capsule | Ipca
298. [298] Pipox 25mg | Syrup | Intas
299. [299] Amlpiride 2gm | Powder | Torrent
300. [300] Triloxacin 50mg | Drops | Aurobindo
301. [301] Ampflozin 500mg | Ointment | Biocon
302. [302] Panidipine A 400mg | Sachet | Emcure
303. [303] Amoxcet SR 400mg | Inhaler | Micro Labs
304. [304] Azloconazole 20ml | Injection | USV
305. [305] Glimox M 800mg | Injection | Ipca
306. [306] Bialukast 2mg | Inhaler | Ipca
307. [307] Mettine 2gm | Cream | Novartis
308. [308] Paninide ER 400mg | Capsule | Aristo
309. [309] Oxalol 650mg | Ointment | FDC
310. [310] Lineprazole 400mg | Sachet | Emcure
311. [311] Erypium 10ml | Ointment | USV
312. [312] Cidstin D 40mg | Injection | Micro Labs
313. [313] Montpine A 100mg | Tablet | Mankind
314. [314] Oxasetron A 2gm | Syrup | Intas
315. [315] Famsolone 75mg | Capsule | GSK
316. [316] Atorformin Plus 800mg | Syrup | Alembic
317. [317] Amoxma M 250mg | Tablet | Sun Pharma
318. [318] Vilddone 2mg | Inhaler | Micro Labs
319. [319] Bacpiride 40mg | Injection | Aristo
320. [320] Amoxbactam SR 400mg | Injection | Micro Labs
321. [321] Tigefenac O 75mg | Syrup | Micro Labs
322. [322] Tencillin 40mg | Tablet | Macleods
323. [323] Ampcycline M 200mcg | Cream | Novartis
324. [324] Cloxclav SR 400mg | Cream | Biocon
325. [325] Trilopride D 75mg | Powder | Micro Labs
326. [326] Cetox 200mg | Inhaler | Zydus Cadila
327. [327] Sitcet 100mcg | Inhaler | Mankind
328. [328] Glimma 5mg | Inhaler | Lupin
329. [329] Cilstin D 2gm | Cream | Alembic
330. [330] Valpraz 75mg | Drops | J.B. Chemicals
331. [331] Biazepam ER 1gm | Injection | FDC
332. [332] Imisone 1000mg | Ointment | Intas
333. [333] Novevir SR 2gm | Powder | Dr. Reddys
334. [334] Penpram ER 10ml | Powder | J.B. Chemicals
335. [335] Ertasolone ER 0.5mg | Capsule | Biocon
336. [336] Sulasvir 1mg | Capsule | Aristo
337. [337] Sullam SR 1mg | Syrup | Serum Institute
338. [338] Rosuzine M 100mg | Powder | Serum Institute
339. [339] Foszolid A 20ml | Syrup | Intas
340. [340] Ledpride 2mg | Inhaler | Zydus Cadila
341. [341] Nafpitant M 20mg | Capsule | Intas
342. [342] Linezepam Plus 150mg | Ointment | Sanofi
343. [343] Vabozole O 150mg | Powder | Mankind
344. [344] Tigelukast 75mg | Injection | Aristo
345. [345] Diclobactam 25mg | Ointment | Emcure
346. [346] Sitlam ER 800mg | Ointment | Abbott
347. [347] Methlol 2mg | Cream | Zydus Cadila
348. [348] Pankacin 50mg | Injection | Alembic
349. [349] Metpitant Plus 10mg | Powder | Sanofi
350. [350] Tazfungin 50mg | Tablet | Intas
351. [351] Paniasvir ER 100mcg | Syrup | Glenmark
352. [352] Sanoma 10ml | Drops | Micro Labs
353. [353] Clavformin 50mcg | Powder | Mankind
354. [354] Tazokast M 200mg | Tablet | Glenmark
355. [355] Rosumicin 800mg | Inhaler | Aristo
356. [356] Telbactam O 50mg | Inhaler | Alkem
357. [357] Imidoc SR 20mg | Injection | Lupin
358. [358] Cloxformin Plus 100mcg | Tablet | Lupin
359. [359] Aciprazole ER 2mg | Sachet | Serum Institute
360. [360] Atorfungin 40mg | Powder | Dr. Reddys
361. [361] Ledsetron Forte 20mg | Cream | Biocon
362. [362] Cetflozin SR 250mg | Sachet | Novartis
363. [363] Imitine 25mg | Syrup | Emcure
364. [364] Cetdipine 2gm | Drops | GSK
365. [365] Empfenac 100mcg | Drops | Wockhardt
366. [366] Merolol Forte 0.5mg | Ointment | Micro Labs
367. [367] Sanopitant SR 2.5mg | Injection | USV
368. [368] Biaxacin 2.5mg | Drops | Wockhardt
369. [369] Tigelone Forte 200mcg | Injection | Novartis
370. [370] Ticadoc 650mg | Cream | USV
371. [371] Cloxxacin 5ml | Syrup | Sun Pharma
372. [372] Biadone M 5ml | Drops | Novartis
373. [373] Famformin O 250mg | Capsule | Novartis
374. [374] Tazox 500mg | Tablet | Novartis
375. [375] Levcoxib ER 2.5mg | Drops | Abbott
376. [376] Fampride 1mg | Cream | Alembic
377. [377] Metbactam A 500mg | Tablet | Sun Pharma
378. [378] Valconazole ER 20mg | Inhaler | Zydus Cadila
379. [379] Ampcoxib 500mg | Syrup | USV
380. [380] Cefnide 800mg | Sachet | Ipca
381. [381] Sulox Plus 0.5mg | Drops | Aristo
382. [382] Dacprevir 10mg | Syrup | Lupin
383. [383] Ampasvir D 100mcg | Cream | Mankind
384. [384] Cloxconazole O 5mg | Capsule | GSK
385. [385] Bacfine 50mcg | Drops | Zydus Cadila
386. [386] Clavgliptin 1000mg | Cream | Aurobindo
387. [387] Pivconazole 2.5mg | Injection | Torrent
388. [388] Tenpraz SR 100mg | Cream | Novartis
389. [389] Telstin 2mg | Injection | Emcure
390. [390] Cloxzole 2.5mg | Capsule | Micro Labs
391. [391] Carbdoc A 800mg | Powder | Emcure
392. [392] Cloxzepam D 1gm | Sachet | Alembic
393. [393] Pipmine Plus 50mcg | Injection | Torrent
394. [394] Sofgliptin 10mg | Tablet | Emcure
395. [395] Clavpram Forte 500mg | Ointment | Mankind
396. [396] Fampraz D 500mg | Syrup | Alkem
397. [397] Famasvir 650mg | Tablet | Emcure
398. [398] Trilopram 2mg | Cream | Novartis
399. [399] Rabcillin 250mg | Syrup | Biocon
400. [400] Biaterol Plus 2gm | Drops | Aurobindo
401. [401] Linestin Plus 1gm | Inhaler | Pfizer
402. [402] Pipdipine 10mg | Injection | GSK
403. [403] Collam Plus 0.5mg | Drops | Abbott
404. [404] Telcycline 1gm | Syrup | Aurobindo
405. [405] Carbnide D 2.5mg | Powder | Abbott
406. [406] Clavdoc 10mg | Drops | J.B. Chemicals
407. [407] Relelam A 1gm | Capsule | Zydus Cadila
408. [408] Acipenem 1000mg | Inhaler | Lupin
409. [409] Montmine 200mcg | Injection | Alembic
410. [410] Amomine 75mg | Cream | Biocon
411. [411] Ertastin ER 25mg | Tablet | Intas
412. [412] Cefsone 20mg | Cream | Cipla
413. [413] Clavtine O 10mg | Drops | Glenmark
414. [414] Tazopril 200mg | Injection | FDC
415. [415] Cloxbactam Forte 200mg | Cream | Sun Pharma
416. [416] Dicloformin 1000mg | Drops | USV
417. [417] Ledgliptin O 0.5mg | Inhaler | Wockhardt
418. [418] Cilcoxib O 100mcg | Powder | Lupin
419. [419] Nafpiride Forte 2.5mg | Syrup | Novartis
420. [420] Pivnide 50mg | Inhaler | Lupin
421. [421] Imiterol 20mg | Drops | Novartis
422. [422] Biamine 25mg | Inhaler | Wockhardt
423. [423] Penfenac D 20mg | Sachet | Zydus Cadila
424. [424] Ganmycin Forte 250mg | Sachet | Biocon
425. [425] Farprazole ER 250mg | Inhaler | Lupin
426. [426] Diclocoxib A 2gm | Syrup | Glenmark
427. [427] Omekacin Forte 100mg | Ointment | Dr. Reddys
428. [428] Avibactam Forte 5ml | Tablet | Wockhardt
429. [429] Trilomicin 100mg | Syrup | Alembic
430. [430] Rosuterol O 1gm | Capsule | Pfizer
431. [431] Pippenem ER 200mcg | Ointment | Micro Labs
432. [432] Trilozolam M 20mg | Cream | Alembic
433. [433] Azithzine O 50mg | Drops | FDC
434. [434] Diclostatin 200mg | Syrup | Aurobindo
435. [435] Nafma D 2gm | Cream | Aurobindo
436. [436] Amlsone Forte 5ml | Inhaler | Zydus Cadila
437. [437] Trilomicin 2mg | Sachet | Glenmark
438. [438] Cilsone A 650mg | Syrup | Dr. Reddys
439. [439] Cetlol D 150mg | Inhaler | Torrent
440. [440] Farxacin D 0.5mg | Powder | Serum Institute
441. [441] Levpine 10mg | Powder | Sanofi
442. [442] Rosukacin 1000mg | Powder | Aristo
443. [443] Pengliptin 5mg | Drops | Pfizer
444. [444] Panpril M 5mg | Ointment | Lupin
445. [445] Ticaformin Forte 650mg | Injection | Lupin
446. [446] Foslol A 5ml | Drops | Pfizer
447. [447] Nafpenem ER 2mg | Tablet | Glenmark
448. [448] Fosbuvir 50mcg | Sachet | Ipca
449. [449] Methzolam 0.5mg | Inhaler | Macleods
450. [450] Avikacin 2mg | Ointment | Pfizer
451. [451] Oxalol 5mg | Powder | Novartis
452. [452] Vancstin 100mg | Injection | Intas
453. [453] Dacconazole 1000mg | Syrup | Novartis
454. [454] Montmicin 5ml | Inhaler | Mankind
455. [455] Doripam D 1mg | Capsule | Dr. Reddys
456. [456] Cetpiride Plus 2.5mg | Cream | Cipla
457. [457] Azlopium Plus 150mg | Cream | Sanofi
458. [458] Meroxicam D 20ml | Cream | Wockhardt
459. [459] Ganbuvir Forte 100mg | Injection | Aurobindo
460. [460] Ticapram Forte 1000mg | Powder | Mankind
461. [461] Linelukast 1mg | Tablet | Aurobindo
462. [462] Colmine Plus 25mg | Sachet | Torrent
463. [463] Sitsartan 200mg | Drops | Dr. Reddys
464. [464] Sanolam D 650mg | Powder | Intas
465. [465] Vabonide Forte 100mg | Cream | Torrent
466. [466] Clavzolam 500mg | Powder | Novartis
467. [467] Pipconazole 200mg | Syrup | Wockhardt
468. [468] Pipmycin Forte 75mg | Capsule | Torrent
469. [469] Vaboprevir Plus 5mg | Drops | Mankind
470. [470] Soffungin Plus 20mg | Tablet | Aristo
471. [471] Metsone SR 10mg | Inhaler | Alkem
472. [472] Amlzine 0.5mg | Ointment | USV
473. [473] Cidpam O 1000mg | Injection | Sun Pharma
474. [474] Azlosolone 25mg | Injection | Cipla
475. [475] Methclav D 200mcg | Ointment | Alkem
476. [476] Vildpride 200mcg | Powder | Sanofi
477. [477] Biapride 25mg | Cream | Emcure
478. [478] Velzepam 2.5mg | Syrup | Aristo
479. [479] Oxadoc 2gm | Sachet | Cipla
480. [480] Tigenide A 200mg | Injection | FDC
481. [481] Amppenem Plus 200mcg | Powder | Zydus Cadila
482. [482] Panma 500mg | Tablet | Torrent
483. [483] Omeprazole 40mg | Capsule | Lupin
484. [484] Pivzolid 20ml | Ointment | Aristo
485. [485] Panconazole 150mg | Drops | Abbott
486. [486] Tenconazole A 500mg | Inhaler | Lupin
487. [487] Levpium O 50mcg | Capsule | Sun Pharma
488. [488] Vildzolid 5mg | Capsule | FDC
489. [489] Doristatin SR 0.5mg | Sachet | USV
490. [490] Azithzepam Forte 200mcg | Tablet | Sun Pharma
491. [491] Nafflozin Forte 650mg | Powder | Ipca
492. [492] Fammine SR 20mg | Ointment | Macleods
493. [493] Vancfine ER 1000mg | Inhaler | Cipla
494. [494] Parazine A 400mg | Injection | Macleods
495. [495] Azlofungin 10mg | Injection | Micro Labs
496. [496] Dapgliptin 400mg | Injection | Sanofi
497. [497] Foscoxib Plus 400mg | Drops | Sanofi
498. [498] Releclav M 20ml | Capsule | Glenmark
499. [499] Montfungin 5mg | Injection | Emcure
500. [500] Colpium SR 5mg | Syrup | Serum Institute
501. [501] Sitpride SR 10ml | Powder | Micro Labs
502. [502] Methdone 650mg | Injection | Dr. Reddys
503. [503] Relemicin Forte 40mg | Syrup | Abbott
504. [504] Cetdipine 5mg | Tablet | Aristo
505. [505] Montasvir 75mg | Powder | Sun Pharma
506. [506] Glimzine 200mg | Tablet | Lupin
507. [507] Pivzosin 1gm | Cream | Pfizer
508. [508] Amoxmine 1gm | Cream | Alembic
509. [509] Vancpride 5ml | Ointment | Ipca
510. [510] Amopram 500mg | Inhaler | Torrent
511. [511] Clavpram 2.5mg | Powder | Biocon
512. [512] Amoxprazole ER 2mg | Cream | Aristo
513. [513] Tigexicam 2gm | Ointment | Wockhardt
514. [514] Pivformin 250mg | Sachet | Micro Labs
515. [515] Merolam Plus 20mg | Syrup | Zydus Cadila
516. [516] Biacycline Plus 100mg | Powder | GSK
